"Date","Record Number","Record Type","Project Name","Status","Short Notes",
"12/21/2018","P18BP08858","Building Permit","Single Family Residence Alteration","Final",,
"12/21/2018","P18BP08857","Building Permit","Single Family Residence Addition","Deficient",,
"12/21/2018","P18BP08852","Building Permit","Single Family Residence New","Request for Corrections",,
"12/21/2018","P18BP08851","Building Permit","Tenant Improvement","Issued",,
"12/21/2018","P18BP08849","Building Permit","Single Family Residence Alteration","Final",,
"12/20/2018","P18BP08847","Building Permit","Single Family Residence New","Issued",,
"12/20/2018","P18BP08840","Building Permit","Tenant Improvement","C of O",,
"12/20/2018","P18BP08837","Building Permit","Single Family Residence Alteration","Final",,
"12/20/2018","P18BP08834","Building Permit","Single Family Residence Addition","Issued",,
"12/20/2018","P18BP08832","Building Permit","Single Family Residence Addition","Issued",,
"12/20/2018","P18BP08831","Building Permit","Single Family Residence Alteration","Withdrawn",,
"12/20/2018","P18BP08830","Building Permit","Single Family Residence New","Issued",,
"12/20/2018","P18BP08828","Building Permit","Single Family Residence New","Issued",,
"12/20/2018","P18BP08827","Building Permit","Single Family Residence New","Issued",,
"12/20/2018","P18BP08826","Building Permit","Single Family Residence New","Issued",,
"12/20/2018","P18BP08825","Building Permit","Single Family Residence Addition","Approved",,
"12/20/2018","P18BP08824","Building Permit","Single Family Residence New","Issued",,
"12/20/2018","P18BP08823","Building Permit","Single Family Residence New","Issued",,
"12/20/2018","P18BP08822","Building Permit","Single Family Residence New","Issued",,
"12/20/2018","P18BP08821","Building Permit","Single Family Residence New","Issued",,
"12/20/2018","P18BP08820","Building Permit","Single Family Residence New","Issued",,
"12/20/2018","P18BP08819","Building Permit","Single Family Residence Alteration","Final",,
"12/20/2018","P18BP08818","Building Permit","Single Family Residence Addition","Issued",,
"12/20/2018","P18BP08817","Building Permit","Single Family Residence New","Issued",,
"12/20/2018","P18BP08815","Building Permit","Single Family Residence New","Issued",,
"12/20/2018","P18BP08814","Building Permit","Single Family Residence New","Issued",,
"12/20/2018","P18BP08811","Building Permit","Single Family Residence New","Issued",,
"12/19/2018","P18BP08810","Building Permit","Single Family Residence Addition","Final",,
"12/19/2018","P18BP08808","Building Permit","Commercial Building Addition","Issued",,
"12/19/2018","P18BP08807","Building Permit","Commercial Building Alteration","Issued",,
"12/19/2018","P18BP08806","Building Permit","Commercial Building Alteration","Issued",,
"12/19/2018","P18BP08805","Building Permit","Single Family Residence New","Approved",,
"12/19/2018","P18BP08803","Building Permit","Commercial Building Other","Issued",,
"12/19/2018","P18BP08802","Building Permit","Commercial Building Other","Issued",,
"12/19/2018","P18BP08787","Building Permit","Single Family Residence Alteration","Request for Corrections",,
"12/19/2018","P18BP08783","Building Permit","Single Family Residence Alteration","Final",,
"12/19/2018","P18BP08782","Building Permit","Single Family Residence Addition","Issued",,
"12/19/2018","P18BP08779","Building Permit","Single Family Residence Alteration","Issued",,
"12/18/2018","P18BP08778","Building Permit","Single Family Residence Addition","Deficient",,
"12/18/2018","P18BP08775","Building Permit","Commercial Building Alteration","Issued",,
"12/18/2018","P18BP08774","Building Permit","Single Family Residence New","Issued",,
"12/18/2018","P18BP08769","Building Permit","Single Family Residence Addition","Issued",,
"12/18/2018","P18BP08768","Building Permit","Tenant Improvement","Issued",,
"12/18/2018","P18BP08767","Building Permit","Single Family Residence New","Issued",,
"12/18/2018","P18BP08766","Building Permit","Single Family Residence New","Issued",,
"12/18/2018","P18BP08764","Building Permit","Commercial Building Alteration","Issued",,
"12/18/2018","P18BP08756","Building Permit","Single Family Residence Addition","Withdrawn",,
"12/18/2018","P18BP08752","Building Permit","Single Family Residence Addition","Final",,
"12/18/2018","P18BP08748","Building Permit","Commercial Building Other","Issued",,
"12/17/2018","P18BP08740","Building Permit","Single Family Residence Addition","In Review",,
"12/17/2018","P18BP08728","Building Permit","Single Family Residence New","Issued",,
"12/17/2018","P18BP08726","Building Permit","Commercial Building Other","Approved",,
"12/14/2018","P18BP08720","Building Permit","Single Family Residence Addition","Issued",,
"12/14/2018","P18BP08713","Building Permit","Commercial Building Addition","Issued",,
"12/14/2018","P18BP08705","Building Permit","Single Family Residence Alteration","Issued",,
"12/13/2018","P18BP08704","Building Permit","Single Family Residence Addition","Issued",,
"12/13/2018","P18BP08702","Building Permit","Single Family Residence Addition","Issued",,
"12/13/2018","P18BP08701","Building Permit","Single Family Residence Alteration","Issued",,
"12/13/2018","P18BP08700","Building Permit","Single Family Residence New","Approved",,
"12/13/2018","P18BP08699","Building Permit","Single Family Residence New","Issued",,
"12/13/2018","P18BP08694","Building Permit","Single Family Residence New","Issued",,
"12/13/2018","P18BP08689","Building Permit","Commercial Building Alteration","Issued",,
"12/13/2018","P18BP08687","Building Permit","Commercial Building Alteration","C of O",,
"12/13/2018","P18BP08683","Building Permit","Single Family Residence Alteration","Final",,
"12/13/2018","P18BP08682","Building Permit","Commercial Building Alteration","Issued",,
"12/12/2018","P18BP08674","Building Permit","Single Family Residence New","Issued",,
"12/12/2018","P18BP08673","Building Permit","Single Family Residence New","Issued",,
"12/12/2018","P18BP08672","Building Permit","Single Family Residence New","Issued",,
"12/12/2018","P18BP08670","Building Permit","Single Family Residence Addition","Issued",,
"12/12/2018","P18BP08669","Building Permit","Single Family Residence New","Issued",,
"12/12/2018","P18BP08663","Building Permit","Tenant Improvement","Approved",,
"12/12/2018","P18BP08654","Building Permit","Single Family Residence New","Deficient",,
"12/12/2018","P18BP08652","Building Permit","Single Family Residence New","Issued",,
"12/11/2018","P18BP08645","Building Permit","Single Family Residence New","Void",,
"12/11/2018","P18BP08644","Building Permit","Single Family Residence New","Issued",,
"12/11/2018","P18BP08612","Building Permit","Single Family Residence Alteration","Issued",,
"12/11/2018","P18BP08611","Building Permit","Single Family Residence Addition","Deficient",,
"12/11/2018","P18BP08607","Building Permit","Single Family Residence New","Issued",,
"12/11/2018","P18BP08605","Building Permit","Single Family Residence Addition","Issued",,
"12/11/2018","P18BP08604","Building Permit","Single Family Residence Addition","Issued",,
"12/11/2018","P18BP08603","Building Permit","Single Family Residence Addition","Request for Corrections",,
"12/10/2018","P18BP08599","Building Permit","Single Family Residence Addition","Issued",,
"12/10/2018","P18BP08588","Building Permit","Single Family Residence Alteration","Final",,
"12/10/2018","P18BP08587","Building Permit","Single Family Residence Alteration","Issued",,
"12/10/2018","P18BP08586","Building Permit","Single Family Residence Alteration","Issued",,
"12/10/2018","P18BP08585","Building Permit","Single Family Residence Alteration","Issued",,
"12/10/2018","P18BP08584","Building Permit","Single Family Residence Alteration","Final",,
"12/10/2018","P18BP08583","Building Permit","Single Family Residence Alteration","Final",,
"12/10/2018","P18BP08582","Building Permit","Single Family Residence Alteration","Final",,
"12/10/2018","P18BP08579","Building Permit","Single Family Residence New","Issued",,
"12/10/2018","P18BP08571","Building Permit","Single Family Residence Addition","Issued",,
"12/10/2018","P18BP08564","Building Permit","Single Family Residence Alteration","Final",,
"12/07/2018","P18BP08557","Building Permit","Single Family Residence Addition","Deficient",,
"12/07/2018","P18BP08556","Building Permit","Single Family Residence Addition","Deficient",,
"12/07/2018","P18BP08555","Building Permit","Single Family Residence Addition","Deficient",,
"12/07/2018","P18BP08554","Building Permit","Single Family Residence New","Issued",,
"12/07/2018","P18BP08553","Building Permit","Single Family Residence Addition","Issued",,
"12/07/2018","P18BP08552","Building Permit","Commercial Building Other","Issued",,
"12/07/2018","P18BP08547","Building Permit","Commercial Building Other","Final",,
"12/07/2018","P18BP08546","Building Permit","Single Family Residence New","Issued",,
"12/07/2018","P18BP08545","Building Permit","Single Family Residence New","Issued",,
"12/07/2018","P18BP08544","Building Permit","Single Family Residence New","Issued",,
"12/07/2018","P18BP08543","Building Permit","Single Family Residence New","Issued",,
"12/07/2018","P18BP08532","Building Permit","Single Family Residence Addition","In Review",,
"12/07/2018","P18BP08531","Building Permit","Single Family Residence New","Issued",,
"12/06/2018","P18BP08530","Building Permit","Single Family Residence New","Approved",,
"12/06/2018","P18BP08527","Building Permit","Commercial Building Other","Issued",,
"12/06/2018","P18BP08525","Building Permit","Commercial Building Other","Withdrawn",,
"12/06/2018","P18BP08523","Building Permit","Commercial Building Other","Withdrawn",,
"12/06/2018","P18BP08516","Building Permit","Single Family Residence Addition","Issued",,
"12/06/2018","P18BP08513","Building Permit","Single Family Residence Addition","Final",,
"12/06/2018","P18BP08512","Building Permit","Single Family Residence Addition","Void",,
"12/06/2018","P18BP08510","Building Permit","Single Family Residence Alteration","Issued",,
"12/06/2018","P18BP08509","Building Permit","Single Family Residence Alteration","Issued",,
"12/06/2018","P18BP08507","Building Permit","Single Family Residence Alteration","Request for Corrections",,
"12/06/2018","P18BP08506","Building Permit","Single Family Residence Addition","Issued",,
"12/06/2018","P18BP08505","Building Permit","Single Family Residence Addition","Issued",,
"12/06/2018","P18BP08503","Building Permit","Single Family Residence Alteration","Issued",,
"12/06/2018","P18BP08502","Building Permit","Commercial Building Alteration","Final",,
"12/05/2018","P18BP08500","Building Permit","Tenant Improvement","C of O",,
"12/05/2018","P18BP08494","Building Permit","Single Family Residence Addition","Final",,
"12/05/2018","P18BP08485","Building Permit","Tenant Improvement","Issued",,
"12/05/2018","P18BP08481","Building Permit","Single Family Residence Addition","Request for Corrections",,
"12/04/2018","P18BP08476","Building Permit","Commercial Building Other","Approved",,
"12/04/2018","P18BP08473","Building Permit","Commercial Building Other","Issued",,
"12/04/2018","P18BP08472","Building Permit","Commercial Building Alteration","Issued",,
"12/04/2018","P18BP08470","Building Permit","Single Family Residence Alteration","Request for Corrections",,
"12/04/2018","P18BP08469","Building Permit","Single Family Residence Alteration","Final",,
"12/04/2018","P18BP08468","Building Permit","Single Family Residence New","Issued",,
"12/04/2018","P18BP08462","Building Permit","Single Family Residence Addition","Final",,
"12/04/2018","P18BP08460","Building Permit","Single Family Residence New","Issued",,
"12/04/2018","P18BP08459","Building Permit","Single Family Residence New","Deficient",,
"12/04/2018","P18BP08456","Building Permit","Single Family Residence Alteration","Final",,
"12/04/2018","P18BP08455","Building Permit","Single Family Residence New","Issued",,
"12/04/2018","P18BP08453","Building Permit","Single Family Residence New","Issued",,
"12/04/2018","P18BP08451","Building Permit","Single Family Residence New","Issued",,
"12/04/2018","P18BP08449","Building Permit","Single Family Residence New","Final",,
"12/04/2018","P18BP08447","Building Permit","Single Family Residence New","Withdrawn",,
"12/04/2018","P18BP08446","Building Permit","Commercial Building Addition","Final",,
"12/03/2018","P18BP08441","Building Permit","Single Family Residence Alteration","Issued",,
"12/03/2018","P18BP08440","Building Permit","Single Family Residence Addition","Issued",,
"12/03/2018","P18BP08432","Building Permit","Single Family Residence Alteration","Final",,
"12/03/2018","P18BP08427","Building Permit","Single Family Residence New","Issued",,
"12/03/2018","P18BP08424","Building Permit","Single Family Residence Addition","Issued",,
"12/03/2018","P18BP08416","Building Permit","Single Family Residence New","Issued",,
"12/03/2018","P18BP08414","Building Permit","Single Family Residence Alteration","Issued",,
"12/03/2018","P18BP08412","Building Permit","Single Family Residence Addition","Request for Corrections",,
"12/03/2018","P18BP08408","Building Permit","Single Family Residence Addition","Deficient",,
"11/30/2018","P18BP08405","Building Permit","Single Family Residence Addition","Final",,
"11/30/2018","P18BP08404","Building Permit","Single Family Residence Alteration","Issued",,
"11/30/2018","P18BP08403","Building Permit","Single Family Residence Alteration","Issued",,
"11/30/2018","P18BP08402","Building Permit","Single Family Residence Alteration","Final",,
"11/30/2018","P18BP08393","Building Permit","Single Family Residence Alteration","Issued",,
"11/30/2018","P18BP08392","Building Permit","Single Family Residence New","Issued",,
"11/30/2018","P18BP08391","Building Permit","Single Family Residence Addition","Final",,
"11/30/2018","P18BP08388","Building Permit","Single Family Residence Addition","Issued",,
"11/30/2018","P18BP08387","Building Permit","Single Family Residence Addition","Issued",,
"11/30/2018","P18BP08386","Building Permit","Single Family Residence New","In Review",,
"11/30/2018","P18BP08385","Building Permit","Single Family Residence Addition","Issued",,
"11/30/2018","P18BP08382","Building Permit","Single Family Residence Addition","Issued",,
"11/30/2018","P18BP08381","Building Permit","Single Family Residence New","Withdrawn",,
"11/30/2018","P18BP08380","Building Permit","Single Family Residence Addition","Issued",,
"11/29/2018","P18BP08367","Building Permit","Single Family Residence New","Issued",,
"11/29/2018","P18BP08364","Building Permit","Commercial Building Other","Final",,
"11/29/2018","P18BP08362","Building Permit","Single Family Residence Addition","Issued",,
"11/29/2018","P18BP08348","Building Permit","Single Family Residence New","Issued",,
"11/29/2018","P18BP08347","Building Permit","Single Family Residence Addition","Final",,
"11/28/2018","P18BP08344","Building Permit","Single Family Residence New","Issued",,
"11/28/2018","P18BP08340","Building Permit","Single Family Residence Addition","Issued",,
"11/28/2018","P18BP08339","Building Permit","Single Family Residence New","Issued",,
"11/28/2018","P18BP08338","Building Permit","Commercial Building Addition","Issued",,
"11/28/2018","P18BP08336","Building Permit","Single Family Residence Addition","Approved",,
"11/28/2018","P18BP08332","Building Permit","Single Family Residence Addition","Issued",,
"11/28/2018","P18BP08330","Building Permit","Commercial Building Addition","Issued",,
"11/28/2018","P18BP08328","Building Permit","Commercial Building Addition","Final",,
"11/28/2018","P18BP08327","Building Permit","Commercial Building Addition","Issued",,
"11/28/2018","P18BP08326","Building Permit","Commercial Building Addition","Final",,
"11/28/2018","P18BP08324","Building Permit","Single Family Residence New","Issued",,
"11/28/2018","P18BP08318","Building Permit","Single Family Residence Alteration","Final",,
"11/28/2018","P18BP08316","Building Permit","Single Family Residence Addition","Issued",,
"11/28/2018","P18BP08315","Building Permit","Single Family Residence Alteration","Final",,
"11/28/2018","P18BP08313","Building Permit","Single Family Residence Alteration","Final",,
"11/28/2018","P18BP08309","Building Permit","Single Family Residence Alteration","Issued",,
"11/28/2018","P18BP08305","Building Permit","Single Family Residence Addition","Final",,
"11/28/2018","P18BP08304","Building Permit","Single Family Residence New","Issued",,
"11/28/2018","P18BP08303","Building Permit","Commercial Building Other","Issued",,
"11/27/2018","P18BP08302","Building Permit","Single Family Residence New","Issued",,
"11/27/2018","P18BP08301","Building Permit","Single Family Residence New","Issued",,
"11/27/2018","P18BP08297","Building Permit","Single Family Residence New","Issued",,
"11/27/2018","P18BP08293","Building Permit","Single Family Residence New","Issued",,
"11/27/2018","P18BP08289","Building Permit","Single Family Residence Addition","Approved",,
"11/27/2018","P18BP08288","Building Permit","Commercial Building Addition","Issued",,
"11/27/2018","P18BP08286","Building Permit","Single Family Residence New","Issued",,
"11/27/2018","P18BP08284","Building Permit","Tenant Improvement","Issued",,
"11/27/2018","P18BP08283","Building Permit","Tenant Improvement","Issued",,
"11/27/2018","P18BP08281","Building Permit","Single Family Residence New","Issued",,
"11/27/2018","P18BP08280","Building Permit","Single Family Residence New","Issued",,
"11/27/2018","P18BP08279","Building Permit","Single Family Residence New","Issued",,
"11/27/2018","P18BP08278","Building Permit","Single Family Residence New","Issued",,
"11/27/2018","P18BP08277","Building Permit","Single Family Residence New","Issued",,
"11/27/2018","P18BP08275","Building Permit","Single Family Residence New","Issued",,
"11/27/2018","P18BP08274","Building Permit","Single Family Residence New","Issued",,
"11/27/2018","P18BP08263","Building Permit","Single Family Residence Addition","Request for Corrections",,
"11/27/2018","P18BP08262","Building Permit","Single Family Residence Alteration","Issued",,
"11/27/2018","P18BP08259","Building Permit","Single Family Residence Addition","Issued",,
"11/26/2018","P18BP08252","Building Permit","Single Family Residence New","Issued",,
"11/26/2018","P18BP08251","Building Permit","Single Family Residence Addition","Issued",,
"11/26/2018","P18BP08242","Building Permit","Commercial Building Other","C of O",,
"11/26/2018","P18BP08240","Building Permit","Single Family Residence New","Issued",,
"11/26/2018","P18BP08237","Building Permit","Single Family Residence New","Issued",,
"11/26/2018","P18BP08235","Building Permit","Single Family Residence New","Issued",,
"11/26/2018","P18BP08234","Building Permit","Single Family Residence New","Issued",,
"11/26/2018","P18BP08229","Building Permit","Single Family Residence Addition","Final",,
"11/26/2018","P18BP08227","Building Permit","Single Family Residence New","Issued",,
"11/26/2018","P18BP08226","Building Permit","Single Family Residence New","Issued",,
"11/21/2018","P18BP08219","Building Permit","Single Family Residence New","Issued",,
"11/21/2018","P18BP08218","Building Permit","Single Family Residence New","Issued",,
"11/21/2018","P18BP08217","Building Permit","Single Family Residence New","Issued",,
"11/21/2018","P18BP08216","Building Permit","Single Family Residence New","Issued",,
"11/21/2018","P18BP08214","Building Permit","Single Family Residence New","Issued",,
"11/21/2018","P18BP08212","Building Permit","Single Family Residence New","Issued",,
"11/21/2018","P18BP08211","Building Permit","Single Family Residence Addition","Issued",,
"11/21/2018","P18BP08210","Building Permit","Single Family Residence Alteration","Issued",,
"11/21/2018","P18BP08208","Building Permit","Single Family Residence New","Issued",,
"11/21/2018","P18BP08207","Building Permit","Single Family Residence New","Issued",,
"11/21/2018","P18BP08202","Building Permit","Single Family Residence New","In Review",,
"11/21/2018","P18BP08199","Building Permit","Single Family Residence New","In Review",,
"11/21/2018","P18BP08197","Building Permit","Single Family Residence Alteration","Issued",,
"11/21/2018","P18BP08194","Building Permit","Commercial Building Alteration","Issued",,
"11/21/2018","P18BP08193","Building Permit","Tenant Improvement","Issued",,
"11/20/2018","P18BP08187","Building Permit","Single Family Residence Addition","Final","NORTHERN HILLS EST LOT 17 (11/45)",
"11/20/2018","P18BP08182","Building Permit","Single Family Residence Addition","Issued",,
"11/20/2018","P18BP08180","Building Permit","Single Family Residence Alteration","Final",,
"11/20/2018","P18BP08175","Building Permit","Single Family Residence Alteration","Final",,
"11/20/2018","P18BP08169","Building Permit","Single Family Residence Alteration","Request for Corrections",,
"11/20/2018","P18BP08166","Building Permit","Single Family Residence Alteration","Final",,
"11/20/2018","P18BP08162","Building Permit","Single Family Residence Addition","Final",,
"11/20/2018","P18BP08161","Building Permit","Tenant Improvement","Issued",,
"11/20/2018","P18BP08158","Building Permit","Single Family Residence Addition","Issued",,
"11/20/2018","P18BP08155","Building Permit","Single Family Residence Addition","Final",,
"11/20/2018","P18BP08153","Building Permit","Single Family Residence New","Issued",,
"11/20/2018","P18BP08147","Building Permit","Single Family Residence Addition","Final",,
"11/20/2018","P18BP08146","Building Permit","Single Family Residence Addition","Deficient",,
"11/19/2018","P18BP08141","Building Permit","Single Family Residence Alteration","Issued",,
"11/19/2018","P18BP08140","Building Permit","Single Family Residence Addition","Final",,
"11/19/2018","P18BP08138","Building Permit","Single Family Residence New","Issued",,
"11/19/2018","P18BP08137","Building Permit","Single Family Residence New","Issued",,
"11/19/2018","P18BP08135","Building Permit","Single Family Residence Addition","Final",,
"11/19/2018","P18BP08125","Building Permit","Single Family Residence Addition","Issued",,
"11/19/2018","P18BP08123","Building Permit","Single Family Residence Alteration","Issued",,
"11/19/2018","P18BP08121","Building Permit","Single Family Residence Addition","Issued",,
"11/19/2018","P18BP08117","Building Permit","Single Family Residence Addition","Issued",,
"11/19/2018","P18BP08116","Building Permit","Single Family Residence Addition","Issued",,
"11/19/2018","P18BP08111","Building Permit","Single Family Residence Addition","Deficient",,
"11/19/2018","P18BP08110","Building Permit","Single Family Residence Alteration","Final",,
"11/19/2018","P18BP08109","Building Permit","Commercial Building Other","Issued",,
"11/19/2018","P18BP08108","Building Permit","Commercial Building Other","Final",,
"11/19/2018","P18BP08107","Building Permit","Tenant Improvement","Issued",,
"11/16/2018","P18BP08099","Building Permit","Single Family Residence Addition","Deficient",,
"11/16/2018","P18BP08095","Building Permit","Commercial Building Other","Issued",,
"11/16/2018","P18BP08094","Building Permit","Single Family Residence Addition","Final",,
"11/16/2018","P18BP08088","Building Permit","Single Family Residence New","Request for Corrections",,
"11/16/2018","P18BP08085","Building Permit","Single Family Residence Addition","Issued",,
"11/15/2018","P18BP08080","Building Permit","Tenant Improvement","Final",,
"11/15/2018","P18BP08075","Building Permit","Commercial Building Alteration","Issued",,
"11/15/2018","P18BP08068","Building Permit","Single Family Residence Alteration","Issued",,
"11/15/2018","P18BP08061","Building Permit","Single Family Residence Alteration - COMBO/SALT -","Issued","PARK VIEW ESTATES LOT 11",
"11/15/2018","P18BP08058","Building Permit","Single Family Residence New","Issued",,
"11/15/2018","P18BP08056","Building Permit","Single Family Residence Addition","Final",,
"11/15/2018","P18BP08051","Building Permit","Commercial Building Other","Issued",,
"11/15/2018","P18BP08048","Building Permit","Single Family Residence Addition","Issued",,
"11/15/2018","P18BP08045","Building Permit","Single Family Residence New","Final",,
"11/14/2018","P18BP08044","Building Permit","Single Family Residence Addition","Issued",,
"11/14/2018","P18BP08042","Building Permit","Single Family Residence Alteration","Final",,
"11/14/2018","P18BP08041","Building Permit","Single Family Residence Alteration","Final",,
"11/14/2018","P18BP08040","Building Permit","Single Family Residence Alteration","Final",,
"11/14/2018","P18BP08038","Building Permit","Single Family Residence Alteration","Approved",,
"11/14/2018","P18BP08036","Building Permit","Single Family Residence Addition","Deficient",,
"11/14/2018","P18BP08035","Building Permit","Single Family Residence Addition","Issued",,
"11/14/2018","P18BP08033","Building Permit","Commercial Building Other","Issued",,
"11/14/2018","P18BP08028","Building Permit","Commercial Building Other","Issued",,
"11/14/2018","P18BP08027","Building Permit","Single Family Residence Alteration","Issued",,
"11/14/2018","P18BP08025","Building Permit","Single Family Residence Addition","Issued",,
"11/14/2018","P18BP08024","Building Permit","Single Family Residence Alteration","Final",,
"11/14/2018","P18BP08021","Building Permit","Single Family Residence Addition","Issued",,
"11/14/2018","P18BP08017","Building Permit","Single Family Residence Addition","Final",,
