"Address",
"1  N  5TH  AV   202  TUCSON,  AZ  85701",
"1  N  5TH  AV   203  TUCSON,  AZ  85701",
"1  W  WETMORE  RD   203  TUCSON,  AZ  85705",
"1  N  5TH  AV   204  TUCSON,  AZ  85701",
"1  N  5TH  AV   205  TUCSON,  AZ  85701",
"1  N  5TH  AV   206  TUCSON,  AZ  85701",
"1  N  5TH  AV   207  TUCSON,  AZ  85701",
"1  W  WETMORE  RD   207  TUCSON,  AZ  85705",
"1  N  5TH  AV   208  TUCSON,  AZ  85701",
"1  N  5TH  AV   209  TUCSON,  AZ  85701",
"1  N  5TH  AV   210  TUCSON,  AZ  85701",
"1  S  CHURCH  AV   2100  TUCSON,  AZ  85701",
"1  N  5TH  AV   211  TUCSON,  AZ  85701",
"1  S  CHURCH  AV   2110  TUCSON,  AZ  85701",
"1  N  5TH  AV   212  TUCSON,  AZ  85701",
"1  N  5TH  AV   213  TUCSON,  AZ  85701",
"1  S  CHURCH  AV   2130  TUCSON,  AZ  85701",
"1  N  5TH  AV   214  TUCSON,  AZ  85701",
"1  N  5TH  AV   215  TUCSON,  AZ  85701",
"1  N  5TH  AV   216  TUCSON,  AZ  85701",
"1  N  5TH  AV   217  TUCSON,  AZ  85701",
"1  S  CHURCH  AV   2200  TUCSON,  AZ  85701",
"1  E  NAVAJO  RD   3  TUCSON,  AZ  85705",
"1  N  5TH  AV   300  TUCSON,  AZ  85701",
"1  N  5TH  AV   301  TUCSON,  AZ  85701",
"1  N  5TH  AV   302  TUCSON,  AZ  85701",
"1  N  5TH  AV   303  TUCSON,  AZ  85701",
"1  N  5TH  AV   304  TUCSON,  AZ  85701",
"1  N  5TH  AV   305  TUCSON,  AZ  85701",
"1  N  5TH  AV   306  TUCSON,  AZ  85701",
"1  N  5TH  AV   307  TUCSON,  AZ  85701",
"1  N  5TH  AV   308  TUCSON,  AZ  85701",
"1  N  5TH  AV   309  TUCSON,  AZ  85701",
"1  N  5TH  AV   310  TUCSON,  AZ  85701",
"1  N  5TH  AV   311  TUCSON,  AZ  85701",
"1  N  5TH  AV   312  TUCSON,  AZ  85701",
"1  N  5TH  AV   313  TUCSON,  AZ  85701",
"1  N  5TH  AV   314  TUCSON,  AZ  85701",
"1  N  5TH  AV   315  TUCSON,  AZ  85701",
"1  N  5TH  AV   316  TUCSON,  AZ  85701",
"1  N  5TH  AV   317  TUCSON,  AZ  85701",
"1  E  NAVAJO  RD   4  TUCSON,  AZ  85705",
"1  N  5TH  AV   400  TUCSON,  AZ  85701",
"1  N  5TH  AV   401  TUCSON,  AZ  85701",
"1  N  5TH  AV   402  TUCSON,  AZ  85701",
"1  N  5TH  AV   403  TUCSON,  AZ  85701",
"1  N  5TH  AV   404  TUCSON,  AZ  85701",
"1  N  5TH  AV   405  TUCSON,  AZ  85701",
"1  N  5TH  AV   406  TUCSON,  AZ  85701",
"1  N  5TH  AV   407  TUCSON,  AZ  85701",
"1  N  5TH  AV   408  TUCSON,  AZ  85701",
"1  N  5TH  AV   409  TUCSON,  AZ  85701",
"1  N  5TH  AV   410  TUCSON,  AZ  85701",
"1  N  5TH  AV   411  TUCSON,  AZ  85701",
"1  N  5TH  AV   412  TUCSON,  AZ  85701",
"1  N  5TH  AV   413  TUCSON,  AZ  85701",
"1  N  5TH  AV   414  TUCSON,  AZ  85701",
"1  N  5TH  AV   415  TUCSON,  AZ  85701",
"1  N  5TH  AV   416  TUCSON,  AZ  85701",
"1  E  NAVAJO  RD   5  TUCSON,  AZ  85705",
"1  N  5TH  AV   500  TUCSON,  AZ  85701",
"1  S  CHURCH  AV   500  TUCSON,  AZ  85701",
"1  N  5TH  AV   501  TUCSON,  AZ  85701",
"1  N  5TH  AV   502  TUCSON,  AZ  85701",
"1  N  5TH  AV   503  TUCSON,  AZ  85701",
"1  N  5TH  AV   504  TUCSON,  AZ  85701",
"1  N  5TH  AV   505  TUCSON,  AZ  85701",
"1  N  5TH  AV   506  TUCSON,  AZ  85701",
"1  N  5TH  AV   507  TUCSON,  AZ  85701",
"1  N  5TH  AV   508  TUCSON,  AZ  85701",
"1  N  5TH  AV   509  TUCSON,  AZ  85701",
"1  N  5TH  AV   510  TUCSON,  AZ  85701",
"1  N  5TH  AV   511  TUCSON,  AZ  85701",
"1  N  5TH  AV   512  TUCSON,  AZ  85701",
"1  N  5TH  AV   513  TUCSON,  AZ  85701",
"1  N  5TH  AV   514  TUCSON,  AZ  85701",
"1  N  5TH  AV   515  TUCSON,  AZ  85701",
"1  N  5TH  AV   516  TUCSON,  AZ  85701",
"1  N  5TH  AV   517  TUCSON,  AZ  85701",
"1  S  CHURCH  AV   540  TUCSON,  AZ  85701",
"1  E  NAVAJO  RD   6  TUCSON,  AZ  85705",
"1  N  5TH  AV   600  TUCSON,  AZ  85701",
"1  S  CHURCH  AV   600  TUCSON,  AZ  85701",
"1  N  5TH  AV   601  TUCSON,  AZ  85701",
"1  S  CHURCH  AV   601  TUCSON,  AZ  85701",
"1  N  5TH  AV   602  TUCSON,  AZ  85701",
"1  N  5TH  AV   603  TUCSON,  AZ  85701",
"1  N  5TH  AV   604  TUCSON,  AZ  85701",
"1  N  5TH  AV   605  TUCSON,  AZ  85701",
"1  N  5TH  AV   606  TUCSON,  AZ  85701",
"1  N  5TH  AV   607  TUCSON,  AZ  85701",
"1  N  5TH  AV   608  TUCSON,  AZ  85701",
"1  N  5TH  AV   609  TUCSON,  AZ  85701",
"1  N  5TH  AV   610  TUCSON,  AZ  85701",
"1  N  5TH  AV   611  TUCSON,  AZ  85701",
"1  N  5TH  AV   612  TUCSON,  AZ  85701",
"1  N  5TH  AV   613  TUCSON,  AZ  85701",
"1  N  5TH  AV   614  TUCSON,  AZ  85701",
"1  N  5TH  AV   615  TUCSON,  AZ  85701",
"1  N  5TH  AV   616  TUCSON,  AZ  85701",
"1  N  5TH  AV   617  TUCSON,  AZ  85701",
"1  S  CALCITE  DR    TUCSON,  AZ  85745",
"1  S  CHURCH  AV    TUCSON,  AZ  85701",
"1  S  CROWN PLAZA     VAIL,  AZ  85641",
"1  S  EVELYN  AV    TUCSON,  AZ  85710",
"1  S  FLUORITE     TUCSON,  AZ  85745",
"1  S  MONITOR  PL    TUCSON,  AZ  85710",
"1  W  ALPIA  WY    TUCSON,  AZ  85704",
"1  W  ANDREW POTTER  ST    VAIL,  AZ  85641",
"1  W  CALLE DE LAS TIENDAS     GREEN VALLEY,  AZ  85614",
"1  W  CALLE FRAMBUESA     GREEN VALLEY,  AZ  85614",
"1  W  CALLE LECHO     GREEN VALLEY,  AZ  85622",
"1  W  CALLE MONTANA JACK     GREEN VALLEY,  AZ  85614",
"1  W  CONGRESS  ST    TUCSON,  AZ  85701",
"1  W  CORONA  RD    TUCSON,  AZ  85756",
"1  W  FORREST FEEZOR  ST    VAIL,  AZ  85641",
"1  W  GREENWAY  DR    AJO,  AZ  85321",
"1  W  HAWK  WY    AMADO,  AZ  85645",
"1  W  LA CANOA     GREEN VALLEY,  AZ  85614",
"1  W  LESTER  ST    TUCSON,  AZ  85705",
"1  W  MATTERHORN  ST    TUCSON,  AZ  85737",
"1  W  OLD INA  RD    TUCSON,  AZ  85704",
"1  W  PAJARO  ST    AJO,  AZ  85321",
"1  W  PASEO REDONDO     TUCSON,  AZ  85701",
"1  W  PLAZA  ST    AJO,  AZ  85321",
"1  W  ROMA  DR    TUCSON,  AZ  85737",
"1  W  UNIVERSITY  BL    TUCSON,  AZ  85705",
"1  W  WANDERLUST  RD    TUCSON,  AZ  85755",
"1  W  WETMORE  RD    TUCSON,  AZ  85705",
"1  E  NAVAJO  RD   7  TUCSON,  AZ  85705",
"1  S  CHURCH  AV   700  TUCSON,  AZ  85701",
"1  E  NAVAJO  RD   8  TUCSON,  AZ  85705",
"1  S  CHURCH  AV   800  TUCSON,  AZ  85701",
"1  S  CHURCH  AV   820  TUCSON,  AZ  85701",
"1  S  CHURCH  AV   830  TUCSON,  AZ  85701",
"1  S  CHURCH  AV   880  TUCSON,  AZ  85701",
"1  E  NAVAJO  RD   9  TUCSON,  AZ  85705",
"1  S  CHURCH  AV   900  TUCSON,  AZ  85701",
"1  S  CHURCH  AV   950  TUCSON,  AZ  85701",
"10  E  31ST  ST    TUCSON,  AZ  85713",
"10  E  ALASKA  ST    TUCSON,  AZ  85706",
"10  E  CALLE CORTA     TUCSON,  AZ  85716",
"10  E  CALLE DE AMISTAD     TUCSON,  AZ  85716",
"10  E  CALLE DE FELICIDAD     TUCSON,  AZ  85716",
"10  E  CALLE ENCANTO     TUCSON,  AZ  85716",
"10  E  CALLE PRIMOROSA     TUCSON,  AZ  85716",
"10  E  CALLE RESPLENDOR     TUCSON,  AZ  85716",
"10  E  CAMINO DE DIANA     GREEN VALLEY,  AZ  85614",
"10  E  CORONA  RD    TUCSON,  AZ  85756",
"10  E  DAKOTA  ST    TUCSON,  AZ  85706",
"10  E  EL NARANJO     GREEN VALLEY,  AZ  85614",
"10  E  ELVADO  RD    TUCSON,  AZ  85756",
"10  E  INEZ  ST    TUCSON,  AZ  85756",
"10  E  INVERNESS  DR    TUCSON,  AZ  85737",
"10  E  KATER  RD    AJO,  AZ  85321",
"10  E  LOCH LOMOND  PL    TUCSON,  AZ  85737",
"10  E  MADRID  DR    TUCSON,  AZ  85704",
"10  E  MILLS  DR    TUCSON,  AZ  85705",
"10  E  OREGON  ST    TUCSON,  AZ  85706",
"10  E  PENNSYLVANIA  DR    TUCSON,  AZ  85714",
"10  E  PRESIDENT  ST    TUCSON,  AZ  85714",
"10  E  SANTA BELIA     GREEN VALLEY,  AZ  85614",
"10  E  SANTA INEZ     GREEN VALLEY,  AZ  85614",
"10  E  SILVERADO  PL    TUCSON,  AZ  85737",
"10  E  STRADA PATANIA     TUCSON,  AZ  85737",
"10  E  SUSANA  ST    TUCSON,  AZ  85756",
"10  N  CONGRESS  TE    TUCSON,  AZ  85745",
"10  N  IRVING  AV    TUCSON,  AZ  85711",
"10  N  LA CANADA  DR    GREEN VALLEY,  AZ  85614",
"10  N  MAGUIRE  AV    TUCSON,  AZ  85710",
"10  N  MONTEGO  DR    TUCSON,  AZ  85710",
"10  N  MONUMENT ESTATES  PL    TUCSON,  AZ  85748",
"10  N  NORTON  AV    TUCSON,  AZ  85719",
"10  N  PARK  AV    TUCSON,  AZ  85719",
"10  N  ROSEDALE  AV    AJO,  AZ  85321",
"10  N  SIERRA VISTA  DR    TUCSON,  AZ  85719",
"10  N  SWAN  RD    TUCSON,  AZ  85711",
"10  S  BELLA VISTA  DR    TUCSON,  AZ  85745",
"10  S  GRANDE  AV    TUCSON,  AZ  85745",
"10  S  HOUGHTON  RD    TUCSON,  AZ  85748",
"10  S  KINNEY  RD    TUCSON,  AZ  85735",
"10  S  LOOKOUT KNOB  DR    SAHUARITA,  AZ  85629",
"10  S  ORILLA  ST    AJO,  AZ  85321",
"10  S  PINTO  PL    TUCSON,  AZ  85748",
"10  S  SONOYTA  WY    AJO,  AZ  85321",
"10  W  18TH  ST    TUCSON,  AZ  85701",
"10  W  26TH  ST    TUCSON,  AZ  85713",
"10  W  28TH  ST    TUCSON,  AZ  85713",
"10  W  ANDREW POTTER  ST    VAIL,  AZ  85641",
"10  W  BRISA  ST    AJO,  AZ  85321",
"10  W  CALLE DEL CHANCERO     GREEN VALLEY,  AZ  85614",
"10  W  CALLE ESCUDILLA     GREEN VALLEY,  AZ  85614",
"10  W  CALLE NOGAL     GREEN VALLEY,  AZ  85614",
"10  W  CALLE SAUCO     SAHUARITA,  AZ  85629",
"10  W  CAMINO ESPIGA     SAHUARITA,  AZ  85629",
"10  W  COUNCIL  ST    TUCSON,  AZ  85701",
"10  W  DESERT KNOLL  PL    TUCSON,  AZ  85737",
"10  W  FORREST FEEZOR  ST    VAIL,  AZ  85641",
"10  W  FORT LOWELL  RD    TUCSON,  AZ  85705",
"10  W  GOLDEN SPUR  PL    TUCSON,  AZ  85755",
"10  W  LEE  ST    TUCSON,  AZ  85705",
"10  W  MOSAIC  WY    GREEN VALLEY,  AZ  85614",
"10  W  NAVAJO  RD    TUCSON,  AZ  85705",
"10  W  ORO  PL    TUCSON,  AZ  85737",
"10  W  PASEO DULCE     GREEN VALLEY,  AZ  85614",
"10  W  PINON  DR    GREEN VALLEY,  AZ  85614",
"10  W  PLAZA  ST    AJO,  AZ  85321",
"10  W  RILLITO  ST    TUCSON,  AZ  85705",
"10  W  ROLLING HILLS  ST    TUCSON,  AZ  85704",
"10  W  ROSA  DR    GREEN VALLEY,  AZ  85614",
"10  W  STONE  LP    TUCSON,  AZ  85704",
"10  W  VALLE  PL    TUCSON,  AZ  85737",
"10  W  WILLIAM CAREY  ST    VAIL,  AZ  85641",
"10  S  GRANDE  AV   1  TUCSON,  AZ  85745",
"10  W  RILLITO  ST   1  TUCSON,  AZ  85705",
"10  N  NORTON  AV   100  TUCSON,  AZ  85719",
"10  N  MAGUIRE  AV   101  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   102  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   103A  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   103B  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   104A  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   104B  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   105A  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   105B  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   106  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   107  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   108  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   109  TUCSON,  AZ  85710",
"10  E  MILLS  DR   10A  TUCSON,  AZ  85705",
"10  E  MILLS  DR   10B  TUCSON,  AZ  85705",
"10  N  MAGUIRE  AV   110  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   111  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   115  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   118  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   119  TUCSON,  AZ  85710",
"10  E  MILLS  DR   11A  TUCSON,  AZ  85705",
"10  E  MILLS  DR   11B  TUCSON,  AZ  85705",
"10  N  MAGUIRE  AV   120  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   121  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   122  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   123  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   124  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   125  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   126  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   127  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   128  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   129  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   130  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   131  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   132  TUCSON,  AZ  85710",
"10  S  GRANDE  AV   2  TUCSON,  AZ  85745",
"10  W  RILLITO  ST   2  TUCSON,  AZ  85705",
"10  N  MAGUIRE  AV   201  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   202  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   203  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   204  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   205  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   206  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   207  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   208  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   209  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   210  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   211  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   212  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   213  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   214  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   215  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   216  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   217  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   218  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   219  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   220  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   221  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   222  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   223  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   224  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   225  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   226  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   227  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   228  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   229  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   230  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   231  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   232  TUCSON,  AZ  85710",
"10  W  RILLITO  ST   3  TUCSON,  AZ  85705",
"10  N  MAGUIRE  AV   301  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   302  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   303  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   304  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   305  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   306  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   307  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   308  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   309  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   310  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   311  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   312  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   313  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   314  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   315  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   316  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   317  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   318  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   319  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   320  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   321  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   322  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   323  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   324  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   325  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   326  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   327  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   328  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   329  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   330  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   331  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   332  TUCSON,  AZ  85710",
"10  W  RILLITO  ST   4  TUCSON,  AZ  85705",
"10  N  MAGUIRE  AV   401  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   402  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   403  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   404  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   405  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   406  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   407  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   408  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   409  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   410  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   411  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   412  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   413  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   414  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   415  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   416  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   417  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   418  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   419  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   420  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   421  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   422  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   423  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   424  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   425  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   426  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   427  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   428  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   429  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   430  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   431  TUCSON,  AZ  85710",
"10  N  MAGUIRE  AV   432  TUCSON,  AZ  85710",
"10  W  RILLITO  ST   5  TUCSON,  AZ  85705",
"10  W  RILLITO  ST   6  TUCSON,  AZ  85705",
"10  W  RILLITO  ST   7  TUCSON,  AZ  85705",
"10  S  BELLA VISTA  DR   A  TUCSON,  AZ  85745",
"10  N  PARK  AV   B  TUCSON,  AZ  85719",
"10  S  BELLA VISTA  DR   B  TUCSON,  AZ  85745",
"10  S  BELLA VISTA  DR   C  TUCSON,  AZ  85745",
"10  N  CONGRESS  TE   CHG ADDRES  TUCSON,  AZ  85745",
"10  S  BELLA VISTA  DR   D  TUCSON,  AZ  85745",
"10  N  CONGRESS  TE   HISTORIC A  TUCSON,  AZ  85745",
"10  N  CONGRESS  TE   WRONG SIDE  TUCSON,  AZ  85745",
"100  E  12TH  ST    TUCSON,  AZ  85701",
"100  E  1ST  AV    AJO,  AZ  85321",
"100  E  2ND  AV    AJO,  AZ  85321",
"100  E  3RD  AV    AJO,  AZ  85321",
"100  E  4TH  AV    AJO,  AZ  85321",
"100  E  5TH  AV    AJO,  AZ  85321",
"100  E  AJO  WY    TUCSON,  AZ  85713",
"100  E  ARROYO  AV    AJO,  AZ  85321",
"100  E  CALLE ENCANTO     TUCSON,  AZ  85716",
"100  E  CALLE PRIMOROSA     TUCSON,  AZ  85716",
"100  E  CAMINO DE DIANA     GREEN VALLEY,  AZ  85614",
"100  E  CAROLWOOD  DR    TUCSON,  AZ  85737",
"100  E  CHOLLA SHADOWS  DR    TUCSON,  AZ  85704",
"100  E  CHOLLA  AV    AJO,  AZ  85321",
"100  E  CONGRESS  ST    TUCSON,  AZ  85701",
"100  E  CORTE RANCHO COLINA     SAHUARITA,  AZ  85629",
"100  E  DRACHMAN  ST    TUCSON,  AZ  85705",
"100  E  DUVAL  RD    GREEN VALLEY,  AZ  85614",
"100  E  EL MEMBRILLO     GREEN VALLEY,  AZ  85614",
"100  E  EL NARANJO     GREEN VALLEY,  AZ  85614",
"100  E  ELVIRA  RD    TUCSON,  AZ  85756",
"100  E  HARDY  RD    TUCSON,  AZ  85704",
"100  E  KATER  RD    AJO,  AZ  85321",
"100  E  MEDINA  RD    TUCSON,  AZ  85756",
"100  E  OCOTILLO  ST    AJO,  AZ  85321",
"100  E  ORANGE GROVE  RD    TUCSON,  AZ  85704",
"100  E  PALMAS  PL    TUCSON,  AZ  85706",
"100  E  PASEO CHUPAROSAS     GREEN VALLEY,  AZ  85614",
"100  E  PASEO DE GOLF     GREEN VALLEY,  AZ  85614",
"100  E  PLACITA NUBES DE AGUA     SAHUARITA,  AZ  85629",
