,0
696,4
697,5
698,1
699,6
700,2
701,7
702,7
703,5
704,7
705,1
706,6
707,5
708,6
709,6
710,1
711,3
712,2
713,6
714,0
715,1
716,4
717,9
718,7
719,3
720,5
721,9
722,0
723,6
724,2
725,4
726,0
727,0
728,8
729,6
730,5
731,2
732,3
733,3
734,1
735,7
736,4
737,9
738,1
739,3
740,8
741,8
742,2
743,4
744,1
745,6
746,2
747,1
748,0
749,2
750,0
751,2
752,9
753,1
754,3
755,6
756,7
757,8
758,2
759,2
760,1
761,0
762,9
763,2
764,6
765,0
766,5
767,1
768,0
769,4
770,0
771,8
772,7
773,7
774,2
775,2
776,3
777,6
778,9
779,5
780,1
781,2
782,5
783,9
784,6
785,1
786,7
787,3
788,1
789,7
790,4
791,6
792,2
793,3
794,9
795,3
796,8
797,6
798,6
799,1
800,3
801,4
802,0
803,1
804,2
805,8
806,0
807,5
808,6
809,4
810,8
811,4
812,9
813,9
814,0
815,5
816,1
817,5
818,5
819,0
820,0
821,6
822,3
823,9
824,7
825,3
826,8
827,6
828,7
829,2
830,8
831,7
832,3
833,4
834,7
835,8
836,3
837,1
838,7
839,3
840,0
841,3
842,0
843,1
844,0
845,9
846,8
847,2
848,2
849,2
850,0
851,9
852,3
853,9
854,8
855,6
856,2
857,5
858,8
859,9
860,2
861,4
862,2
863,4
864,7
865,7
866,2
867,1
868,0
869,3
870,6
871,5
872,6
873,0
874,5
875,7
876,3
877,7
878,9
879,6
880,8
881,1
882,6
883,0
884,0
885,3
886,6
887,9
888,6
889,5
890,8
891,1
892,8
893,7
894,0
895,6
896,6
897,0
898,9
899,6
900,1
901,7
902,2
903,4
904,7
905,2
906,4
907,3
908,9
909,9
910,8
911,1
912,6
913,3
914,0
915,2
916,1
917,8
918,3
919,7
920,0
921,9
922,2
923,1
924,3
925,4
926,3
927,2
928,2
929,0
930,4
931,5
932,1
933,2
934,2
935,0
936,8
937,9
938,6
939,8
940,7
941,3
942,5
943,0
944,9
945,2
946,4
947,7
948,4
949,6
950,0
951,5
952,6
953,0
954,5
955,9
956,1
957,8
958,3
959,3
960,6
961,1
962,2
963,8
964,8
965,5
966,7
967,6
968,0
969,9
970,3
971,2
972,3
973,1
974,1
975,1
976,3
977,4
978,9
979,1
980,4
981,1
982,9
983,0
984,3
985,5
986,3
987,6
988,7
989,9
990,4
991,6
992,7
993,6
994,7
995,8
996,4
997,2
998,4
999,6
1000,5
1001,5
1002,1
1003,8
1004,4
1005,5
1006,6
1007,9
1008,4
1009,2
1010,5
1011,6
1012,7
1013,9
1014,3
1015,9
1016,5
1017,2
1018,5
1019,1
1020,2
1021,9
1022,8
1023,8
1024,4
1025,4
1026,9
1027,7
1028,9
1029,3
1030,1
1031,6
1032,3
1033,7
1034,1
1035,5
1036,6
1037,0
1038,7
1039,4
1040,0
1041,0
1042,9
1043,8
1044,0
1045,8
1046,6
1047,8
1048,7
1049,4
1050,5
1051,0
1052,8
1053,7
1054,7
1055,2
1056,0
1057,0
1058,7
1059,7
1060,3
1061,1
1062,6
1063,6
1064,1
1065,8
1066,4
1067,5
1068,0
1069,5
1070,1
1071,8
1072,2
1073,4
1074,0
1075,3
1076,6
1077,6
1078,2
1079,8
1080,0
1081,9
1082,0
1083,0
1084,7
1085,2
1086,3
1087,8
1088,5
1089,4
1090,0
1091,0
1092,6
1093,7
1094,9
1095,5
1096,3
1097,0
1098,8
1099,9
1100,5
1101,0
1102,7
1103,1
1104,8
1105,3
1106,5
1107,1
1108,8
1109,0
1110,4
1111,3
1112,1
1113,0
1114,6
1115,2
1116,4
1117,1
1118,9
1119,9
1120,8
1121,5
1122,9
1123,8
1124,4
1125,2
1126,6
1127,9
1128,1
1129,6
1130,2
1131,8
1132,5
1133,0
1134,8
1135,7
1136,6
1137,1
1138,7
1139,8
1140,2
1141,0
1142,0
1143,7
1144,0
1145,6
1146,8
1147,1
1148,1
1149,1
1150,1
1151,3
1152,1
1153,8
1154,1
1155,7
1156,4
1157,7
1158,3
1159,4
1160,2
1161,0
1162,2
1163,7
1164,1
1165,5
1166,3
1167,3
1168,1
1169,7
1170,8
1171,6
1172,4
1173,8
1174,8
1175,2
1176,4
1177,4
1178,1
1179,9
1180,9
1181,1
1182,5
1183,7
1184,5
1185,7
1186,9
1187,1
1188,0
1189,3
1190,9
1191,0
1192,3
1193,3
1194,5
1195,6
1196,4
1197,7
1198,7
1199,8
1200,0
1201,4
1202,7
1203,1
1204,3
1205,3
1206,9
1207,1
1208,4
1209,6
1210,7
1211,0
1212,6
1213,4
1214,1
1215,9
1216,1
1217,7
1218,6
1219,8
1220,7
1221,0
1222,6
1223,4
1224,0
1225,4
1226,2
1227,1
1228,7
1229,2
1230,1
1231,9
1232,6
1233,0
1234,0
1235,4
1236,2
1237,8
1238,7
1239,0
1240,0
1241,6
1242,8
1243,1
1244,4
1245,0
1246,2
1247,1
1248,9
1249,2
1250,3
1251,0
1252,7
1253,4
1254,8
1255,4
1256,7
1257,7
1258,3
1259,1
1260,4
1261,6
1262,9
1263,4
1264,9
1265,5
1266,0
1267,9
1268,6
1269,9
1270,6
1271,3
1272,2
1273,9
1274,1
1275,5
1276,9
1277,8
1278,7
1279,5
1280,1
1281,0
1282,8
1283,3
1284,7
1285,0
1286,8
1287,6
1288,2
1289,2
1290,5
1291,7
1292,3
1293,2
1294,7
1295,6
1296,4
1297,6
1298,0
1299,5
1300,7
1301,2
1302,0
1303,7
1304,3
1305,1
1306,0
1307,0
1308,6
1309,1
1310,2
1311,8
1312,1
1313,3
1314,2
1315,6
1316,1
1317,1
1318,5
1319,4
1320,9
1321,5
1322,7
1323,3
1324,1
1325,9
1326,3
1327,6
1328,4
1329,7
1330,2
1331,8
1332,5
1333,7
1334,1
1335,5
1336,7
1337,9
1338,8
1339,0
1340,1
1341,0
1342,7
1343,8
1344,4
1345,9
1346,7
1347,8
1348,5
1349,1
1350,9
1351,5
1352,9
1353,6
1354,6
1355,8
1356,8
1357,7
1358,4
1359,7
1360,2
1361,0
1362,3
1363,8
1364,6
1365,7
1366,0
1367,7
1368,2
1369,7
1370,7
1371,5
1372,9
1373,3
1374,7
1375,5
1376,4
1377,3
1378,6
1379,2
1380,8
1381,3
1382,5
1383,7
1384,8
1385,7
1386,8
1387,4
1388,6
1389,8
1390,3
1391,0
1392,3
1393,1
1394,8
1395,8
1396,9
1397,6
1398,3
1399,0
1400,7
1401,4
1402,3
1403,1
1404,1
1405,4
1406,3
1407,9
1408,1
1409,5
1410,4
1411,4
1412,8
1413,3
1414,9
1415,2
1416,3
1417,6
1418,5
1419,5
1420,0
1421,4
1422,9
1423,6
1424,9
1425,9
1426,1
1427,7
1428,3
1429,2
1430,1
1431,1
1432,9
1433,2
1434,1
1435,8
1436,1
1437,8
1438,3
1439,1
1440,9
1441,4
1442,2
1443,1
1444,3
1445,9
1446,6
1447,3
1448,0
1449,8
1450,4
1451,1
1452,6
1453,1
1454,8
1455,6
1456,5
1457,2
1458,2
1459,1
1460,7
1461,9
1462,0
1463,9
1464,7
1465,3
1466,9
1467,6
1468,3
1469,8
1470,8
1471,3
1472,1
1473,8
1474,8
1475,7
1476,9
1477,2
1478,0
1479,0
1480,8
1481,6
1482,0
1483,4
1484,2
1485,3
1486,0
1487,7
1488,0
1489,0
1490,6
1491,5
1492,3
1493,7
1494,0
1495,8
1496,3
1497,6
1498,3
1499,9
1500,0
1501,2
1502,6
1503,6
1504,4
1505,9
1506,2
1507,8
1508,9
1509,3
1510,3
1511,7
1512,9
1513,3
1514,3
1515,2
1516,2
1517,6
1518,9
1519,9
1520,2
1521,2
1522,5
1523,0
1524,0
1525,3
1526,3
1527,9
1528,6
1529,0
1530,8
1531,6
1532,0
1533,0
1534,5
1535,1
1536,0
1537,3
1538,9
1539,4
1540,3
1541,6
1542,8
1543,6
1544,3
1545,5
1546,0
1547,5
1548,9
1549,0
1550,4
1551,3
1552,3
1553,8
1554,2
1555,7
1556,3
1557,4
1558,0
1559,6
1560,7
1561,7
1562,7
1563,4
1564,1
1565,8
1566,1
1567,4
1568,9
1569,0
1570,8
1571,9
1572,0
1573,1
1574,0
1575,6
1576,1
1577,0
1578,2
1579,9
1580,5
1581,6
1582,3
1583,0
1584,2
1585,8
1586,0
1587,6
1588,1
1589,7
1590,0
1591,7
1592,9
1593,0
1594,7
1595,3
1596,9
1597,0
1598,8
1599,7
1600,9
1601,7
1602,3
1603,2
1604,6
1605,5
1606,9
1607,3
1608,9
1609,3
1610,2
1611,1
1612,4
1613,9
1614,5
1615,5
1616,8
1617,1
1618,1
1619,3
1620,7
1621,0
1622,1
1623,2
1624,7
1625,9
1626,0
1627,9
1628,6
1629,9
1630,4
1631,6
1632,3
1633,3
1634,8
1635,8
1636,0
1637,6
1638,8
1639,4
1640,9
1641,5
1642,6
1643,3
1644,1
1645,2
1646,3
1647,8
1648,9
1649,0
1650,5
1651,8
1652,8
1653,8
1654,0
1655,1
1656,9
1657,2
1658,4
1659,3
1660,3
1661,7
1662,0
1663,2
1664,2
1665,5
1666,5
1667,9
1668,2
1669,9
1670,3
1671,5
1672,3
1673,1
1674,1
1675,7
1676,3
1677,0
1678,8
1679,6
1680,7
1681,8
1682,1
1683,1
1684,2
1685,4
1686,2
1687,1
1688,8
1689,5
1690,8
1691,5
1692,2
1693,6
1694,0
1695,2
1696,7
1697,9
1698,8
1699,9
1700,1
1701,3
1702,5
1703,6
1704,8
1705,9
1706,4
1707,4
1708,7
1709,8
1710,0
1711,2
1712,0
1713,7
1714,3
1715,1
1716,0
1717,1
1718,7
1719,3
1720,9
1721,9
1722,7
1723,4
1724,5
1725,6
1726,4
1727,1
1728,4
1729,9
1730,9
1731,1
1732,5
1733,5
1734,3
1735,6
1736,6
1737,1
1738,7
1739,9
1740,2
1741,8
1742,4
1743,0
1744,9
1745,5
1746,5
1747,2
1748,2
1749,5
1750,9
1751,7
1752,3
1753,0
1754,7
1755,8
1756,4
1757,3
1758,3
1759,4
1760,6
1761,6
1762,3
1763,9
1764,0
1765,7
1766,6
1767,0
1768,1
1769,5
1770,0
1771,4
1772,0
1773,3
1774,6
1775,7
1776,5
1777,3
1778,2
1779,6
1780,5
1781,0
1782,6
1783,1
1784,0
1785,2
1786,9
1787,8
1788,7
1789,7
1790,1
1791,4
1792,1
1793,4
1794,2
1795,0
1796,9
1797,7
1798,5
1799,3
1800,0
1801,4
1802,7
1803,0
1804,4
1805,1
1806,7
1807,3
1808,2
1809,4
1810,2
1811,1
1812,4
1813,4
1814,9
1815,6
1816,9
1817,2
1818,3
1819,9
1820,6
1821,4
1822,9
1823,3
1824,1
1825,0
1826,4
1827,6
1828,3
1829,7
1830,3
1831,4
1832,2
1833,2
1834,2
1835,0
1836,6
1837,2
1838,6
1839,3
1840,2
1841,1
1842,4
1843,7
1844,6
1845,7
1846,6
1847,8
1848,3
1849,1
1850,8
1851,1
1852,7
1853,1
1854,6
1855,4
1856,9
1857,1
1858,7
1859,5
1860,7
1861,2
1862,5
1863,2
1864,6
1865,8
1866,5
1867,1
1868,4
1869,9
1870,5
1871,2
1872,8
1873,0
1874,9
1875,4
1876,2
1877,3
1878,0
1879,2
1880,0
1881,5
1882,1
1883,4
1884,6
1885,3
1886,7
1887,8
1888,6
1889,1
1890,3
1891,5
1892,8
1893,0
1894,3
1895,8
1896,8
1897,0
1898,0
1899,3
1900,1
1901,3
1902,5
1903,7
1904,3
1905,9
1906,5
1907,8
1908,5
1909,8
1910,7
1911,0
1912,6
1913,1
1914,0
1915,0
1916,8
1917,0
1918,2
1919,1
1920,4
1921,9
1922,6
1923,8
1924,7
1925,4
1926,1
1927,3
1928,6
1929,8
1930,0
1931,8
1932,4
1933,6
1934,1
1935,9
1936,9
1937,7
1938,4
1939,4
1940,7
1941,4
1942,3
1943,6
1944,1
1945,2
1946,6
1947,5
1948,2
1949,9
1950,7
1951,2
1952,8
1953,1
1954,4
1955,3
1956,1
1957,8
1958,7
1959,4
1960,7
1961,7
1962,1
1963,1
1964,6
1965,7
1966,5
1967,4
1968,4
1969,3
1970,8
1971,9
1972,7
1973,7
1974,3
1975,8
1976,7
1977,0
1978,7
1979,5
1980,4
1981,7
1982,8
1983,0
1984,3
1985,2
1986,1
1987,7
1988,1
1989,6
1990,2
1991,2
1992,7
1993,5
1994,5
1995,1
1996,3
1997,4
1998,6
1999,6
2000,7
2001,8
2002,1
2003,8
2004,2
2005,2
2006,3
2007,7
2008,3
2009,2
2010,5
2011,4
2012,7
2013,5
2014,1
2015,1
2016,0
2017,1
2018,4
2019,9
2020,1
2021,5
2022,3
2023,2
2024,9
2025,6
2026,9
2027,7
2028,3
2029,7
2030,4
2031,4
2032,9
2033,7
2034,6
2035,5
2036,4
2037,6
2038,7
2039,9
2040,6
2041,6
2042,3
2043,3
2044,1
2045,1
2046,1
2047,2
2048,6
2049,3
2050,7
2051,3
2052,0
2053,3
2054,5
2055,3
2056,0
2057,1
2058,1
2059,7
2060,7
2061,6
2062,1
2063,8
2064,4
2065,1
2066,8
2067,4
2068,3
2069,2
2070,2
2071,1
2072,7
2073,3
2074,1
2075,7
2076,7
2077,6
2078,9
2079,9
2080,5
2081,8
2082,3
2083,0
2084,7
2085,2
2086,2
2087,0
2088,6
2089,5
2090,5
2091,5
2092,8
2093,1
2094,4
2095,4
2096,7
2097,6
2098,4
2099,9
2100,3
2101,5
2102,8
2103,5
2104,3
2105,8
2106,6
2107,3
2108,4
2109,7
2110,4
2111,9
2112,7
2113,7
2114,2
2115,8
2116,2
2117,4
2118,6
2119,9
2120,7
2121,7
2122,3
2123,0
2124,1
2125,3
2126,4
2127,1
2128,5
2129,7
2130,5
2131,7
2132,3
2133,1
2134,3
2135,8
2136,8
2137,2
2138,6
2139,5
2140,1
2141,6
2142,8
2143,0
2144,7
2145,7
2146,9
2147,4
2148,1
2149,4
2150,5
2151,4
2152,8
2153,8
2154,7
2155,1
2156,5
2157,3
2158,4
2159,8
2160,1
2161,6
2162,4
2163,0
2164,0
2165,1
2166,3
2167,2
2168,2
2169,1
2170,1
2171,6
2172,2
2173,9
2174,7
2175,5
2176,3
2177,4
2178,8
2179,0
2180,7
2181,6
2182,5
2183,6
2184,8
2185,1
2186,4
2187,7
2188,3
2189,2
2190,7
2191,4
2192,8
2193,1
2194,4
2195,9
2196,0
2197,8
2198,5
2199,4
2200,7
2201,7
2202,6
2203,6
2204,9
2205,2
2206,1
2207,3
2208,4
2209,3
2210,3
2211,0
2212,5
2213,7
2214,3
2215,1
2216,8
2217,4
2218,0
2219,8
2220,0
2221,9
2222,2
2223,1
2224,2
2225,5
2226,6
2227,9
2228,8
2229,9
2230,6
2231,7
2232,6
2233,7
2234,3
2235,3
2236,6
2237,5
2238,8
2239,1
2240,1
2241,0
2242,8
2243,6
2244,0
2245,4
2246,2
2247,4
2248,2
2249,4
2250,9
2251,0
2252,6
2253,1
2254,0
2255,6
2256,5
2257,7
2258,4
2259,2
2260,8
2261,4
2262,9
2263,1
2264,7
2265,7
2266,2
2267,3
2268,8
2269,1
2270,1
2271,8
2272,6
2273,7
2274,9
2275,5
2276,4
2277,4
2278,4
2279,1
2280,0
2281,3
2282,8
2283,4
2284,3
2285,0
2286,0
2287,4
2288,2
2289,1
2290,0
2291,7
2292,5
2293,7
2294,7
2295,5
2296,9
2297,2
2298,8
2299,2
2300,2
2301,0
2302,2
2303,1
2304,6
2305,3
2306,1
2307,8
2308,9
2309,0
2310,9
2311,6
2312,9
2313,4
2314,6
2315,0
2316,6
2317,6
2318,5
2319,5
2320,5
2321,9
2322,6
2323,2
2324,9
2325,3
2326,7
2327,0
2328,8
2329,0
2330,2
2331,5
2332,1
2333,6
2334,5
2335,0
2336,1
2337,8
2338,6
2339,1
2340,8
2341,4
2342,4
2343,8
2344,0
2345,4
2346,1
2347,4
2348,9
2349,3
2350,5
2351,2
2352,5
2353,3
2354,1
2355,2
2356,4
2357,4
2358,1
2359,5
2360,0
2361,4
2362,2
2363,9
2364,2
2365,3
2366,2
2367,6
2368,6
2369,1
2370,0
2371,4
2372,1
2373,7
2374,7
2375,0
2376,5
2377,8
2378,7
2379,8
2380,2
2381,7
2382,8
2383,7
2384,3
2385,6
2386,5
2387,7
2388,1
2389,0
2390,1
2391,1
2392,3
2393,2
2394,9
2395,5
2396,8
2397,7
2398,2
2399,6
2400,4
2401,5
2402,3
2403,7
2404,3
2405,1
2406,9
2407,6
2408,8
2409,9
2410,1
2411,6
2412,3
2413,7
2414,5
2415,4
2416,5
2417,6
2418,6
2419,6
2420,1
2421,5
2422,3
2423,0
2424,5
2425,1
2426,7
2427,3
2428,7
2429,9
2430,2
2431,5
2432,0
2433,5
2434,3
2435,5
2436,1
2437,5
2438,1
2439,2
2440,4
2441,0
2442,0
2443,1
2444,3
2445,6
2446,2
2447,5
2448,8
2449,1
2450,6
2451,1
2452,5
2453,9
2454,8
2455,3
2456,6
2457,1
2458,1
2459,0
2460,4
2461,0
2462,5
2463,2
2464,2
2465,7
2466,7
2467,3
2468,0
2469,3
2470,1
2471,3
2472,0
2473,4
2474,8
2475,6
2476,9
2477,4
2478,5
2479,3
2480,8
2481,7
2482,3
2483,6
2484,5
2485,8
2486,3
2487,0
2488,3
2489,8
2490,1
2491,7
2492,6
2493,0
2494,3
2495,7
2496,5
2497,7
2498,4
2499,3
2500,7
2501,1
2502,8
2503,2
2504,2
2505,4
2506,7
2507,1
2508,6
2509,0
2510,7
2511,8
2512,7
2513,3
2514,2
2515,2
2516,7
2517,4
2518,8
2519,3
2520,0
2521,6
2522,6
2523,1
2524,6
2525,1
2526,7
2527,3
2528,7
2529,8
2530,6
2531,3
2532,1
2533,3
2534,1
2535,5
2536,0
2537,1
2538,8
2539,9
2540,7
2541,4
2542,1
2543,6
2544,7
2545,4
2546,3
2547,6
2548,6
2549,7
2550,1
2551,0
2552,1
2553,5
2554,3
2555,1
2556,1
2557,1
2558,5
2559,6
2560,0
2561,3
2562,4
2563,6
2564,6
2565,2
2566,5
2567,4
2568,4
2569,2
2570,5
2571,1
2572,5
2573,5
2574,6
2575,1
2576,6
2577,9
2578,6
2579,5
2580,5
2581,7
2582,7
2583,3
2584,7
2585,1
2586,0
2587,5
2588,4
2589,5
2590,2
2591,3
2592,3
2593,4
2594,1
2595,1
2596,5
2597,4
2598,4
2599,5
2600,7
2601,1
2602,7
2603,0
2604,4
2605,5
2606,1
2607,9
2608,3
2609,0
2610,5
2611,3
2612,7
2613,1
2614,3
2615,8
2616,2
2617,4
2618,8
2619,9
2620,3
2621,9
2622,1
2623,4
2624,4
2625,1
2626,7
2627,8
2628,6
2629,4
2630,4
2631,1
2632,4
2633,4
2634,3
2635,6
2636,6
2637,4
2638,2
2639,8
2640,4
2641,3
2642,2
2643,1
2644,8
2645,8
2646,2
2647,8
2648,3
2649,2
2650,3
2651,9
2652,3
2653,0
2654,2
2655,2
2656,1
2657,4
2658,1
2659,9
2660,5
2661,5
2662,3
2663,0
2664,7
2665,4
2666,6
2667,5
2668,6
2669,9
2670,5
2671,6
2672,7
2673,1
2674,1
2675,9
2676,4
2677,5
2678,4
2679,1
2680,4
2681,9
2682,6
2683,6
2684,9
2685,9
2686,5
2687,8
2688,9
2689,4
2690,4
2691,0
2692,7
2693,7
2694,2
2695,1
2696,9
2697,9
2698,0
2699,6
2700,0
2701,1
2702,8
2703,0
2704,2
2705,9
2706,9
2707,6
2708,9
2709,2
2710,6
2711,3
2712,1
2713,4
2714,6
2715,9
2716,6
2717,2
2718,6
2719,3
2720,7
2721,7
2722,5
2723,9
2724,3
2725,7
2726,2
2727,6
2728,9
2729,0
2730,3
2731,9
2732,5
2733,5
2734,4
2735,3
2736,7
2737,5
2738,0
2739,3
2740,9
2741,4
2742,1
2743,7
2744,8
2745,0
2746,3
2747,7
2748,7
2749,6
2750,4
2751,6
2752,7
2753,9
2754,0
2755,2
2756,0
2757,2
2758,0
2759,9
2760,5
2761,9
2762,0
2763,9
2764,5
2765,6
2766,9
2767,8
2768,7
2769,2
2770,2
2771,7
2772,5
2773,2
2774,8
2775,3
2776,2
2777,0
2778,7
2779,9
2780,5
2781,9
2782,1
2783,6
2784,0
2785,1
2786,6
2787,5
2788,4
2789,4
2790,6
2791,5
2792,6
2793,7
2794,6
2795,1
2796,0
2797,2
2798,0
2799,0
2800,7
2801,8
2802,0
2803,2
2804,2
2805,5
2806,7
2807,9
2808,9
2809,1
2810,1
2811,4
2812,5
2813,2
2814,1
2815,9
2816,5
2817,9
2818,9
2819,9
2820,0
2821,1
2822,6
2823,7
2824,9
2825,3
2826,5
2827,1
2828,1
2829,1
2830,8
2831,8
2832,5
2833,8
2834,0
2835,4
2836,9
2837,5
2838,3
2839,8
2840,8
2841,0
2842,9
2843,7
2844,0
2845,7
2846,8
2847,4
2848,7
2849,5
2850,2
2851,3
2852,6
2853,8
2854,1
2855,1
2856,3
2857,3
2858,1
2859,2
2860,4
2861,3
2862,7
2863,6
2864,5
2865,9
2866,1
2867,4
2868,7
2869,1
2870,5
2871,9
2872,2
2873,5
2874,1
2875,0
2876,5
2877,1
2878,9
2879,2
2880,5
2881,9
2882,7
2883,1
2884,9
2885,9
2886,0
2887,9
2888,1
2889,6
2890,7
2891,4
2892,3
2893,7
2894,9
2895,2
2896,0
2897,8
2898,5
2899,5
2900,2
2901,1
2902,0
2903,4
2904,4
2905,9
2906,6
2907,2
2908,6
2909,2
2910,1
2911,5
2912,6
2913,9
2914,4
2915,2
2916,3
2917,4
2918,1
2919,0
2920,6
2921,3
2922,3
2923,5
2924,9
2925,8
2926,2
2927,4
2928,1
2929,6
2930,7
2931,1
2932,2
2933,6
2934,6
2935,1
2936,5
2937,8
2938,4
2939,0
2940,6
2941,9
2942,3
2943,3
2944,8
2945,1
2946,4
2947,0
2948,6
2949,2
2950,5
2951,7
2952,3
2953,0
2954,0
2955,2
2956,6
2957,3
2958,3
2959,9
2960,9
2961,5
2962,8
2963,7
2964,1
2965,8
2966,9
2967,8
2968,6
2969,0
2970,9
2971,9
2972,9
2973,2
2974,6
2975,2
2976,7
2977,6
2978,0
2979,1
2980,4
2981,7
2982,7
2983,8
2984,0
2985,8
2986,4
2987,5
2988,6
2989,4
2990,7
2991,2
2992,5
2993,1
2994,3
2995,0
2996,8
2997,9
